dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbffer
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,512,-2,0.000513,3994795.839847,250.325684,1725.699951,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1024,-2,0.000646,6336339.435641,157.819828,1675.498291,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1024,-2,0.000866,4731360.160460,211.355713,1693.866943,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1024,-2,0.000653,6270571.636123,159.475094,1709.783569,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1024,-2,0.001571,2606538.194913,383.650622,1710.290283,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2048,-2,0.000778,10522908.745229,95.030759,1683.950562,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2048,-2,0.000815,10052618.917485,99.476565,1720.062134,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2048,-2,0.000847,9672319.767187,103.387814,1677.677490,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2048,-2,0.000789,10377343.865391,96.363772,1727.114746,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4096,-2,0.001069,15325241.075215,65.251828,1727.710205,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4096,-2,0.001071,15297908.951371,65.368411,1680.877441,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4096,-2,0.001432,11442203.442827,87.395754,1699.269287,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4096,-2,0.005262,3113563.411473,321.175408,1694.355103,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,8192,-2,0.001314,24937024.818643,40.101015,1704.274292,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,8192,-2,0.002203,14872283.774511,67.239169,1700.159058,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,8192,-2,0.001440,22748731.686813,43.958495,1694.990234,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,8192,-2,0.001746,18764072.953261,53.293334,1712.614624,20.122648,0.000000
