dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbffer
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,1,-3,0.000091,87726.993967,11398.999952,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,2,-3,0.000092,174689.651851,5724.437535,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,2,-3,0.000094,170863.508019,5852.624774,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,2,-3,0.000093,171817.619269,5820.124876,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,2,-3,0.000093,171339.228565,5836.375058,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,2,-3,0.000092,174231.210431,5739.499815,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,2,-3,0.000091,175417.441389,5700.687412,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,2,-3,0.000106,150941.976338,6625.062320,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,2,-3,0.000091,176015.660964,5681.312643,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,4,-3,0.000094,340382.080090,2937.874990,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,4,-3,0.000092,346691.788169,2884.406364,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,4,-3,0.000105,305282.348589,3275.656141,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,4,-3,0.000093,344119.316329,2905.968810,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,4,-3,0.000092,346838.352232,2883.187495,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,4,-3,0.000093,343709.047875,2909.437520,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,4,-3,0.000110,292098.720190,3423.500108,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,4,-3,0.000093,343012.725350,2915.343735,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,8,-3,0.000092,695569.028950,1437.671832,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,8,-3,0.000095,671408.503207,1489.406219,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,8,-3,0.000095,672120.660270,1487.828093,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,8,-3,0.000096,668190.988019,1496.578101,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,8,-3,0.000112,572240.946050,1747.515635,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,8,-3,0.000095,671345.114813,1489.546848,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,8,-3,0.000101,635727.913782,1572.999987,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,8,-3,0.000099,648088.143677,1542.999991,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,16,-3,0.000104,1225091.373330,816.265645,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,16,-3,0.000101,1264809.663396,790.632796,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,16,-3,0.000111,1148167.398200,870.953139,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,16,-3,0.000111,1154796.949726,865.953101,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,16,-3,0.000106,1209589.795547,826.726551,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,16,-3,0.000102,1254385.485817,797.203102,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,16,-3,0.000113,1137262.181574,879.304716,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,16,-3,0.000110,1162980.832197,859.859399,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,32,-3,0.000114,2238310.073970,446.765625,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,32,-3,0.000133,1929134.553556,518.367160,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,32,-3,0.000113,2262863.374303,441.917975,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,32,-3,0.000125,2042574.955700,489.578117,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,32,-3,0.000111,2316700.209496,431.648426,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,32,-3,0.000123,2077399.335481,481.371098,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,32,-3,0.000107,2391584.618402,418.132811,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,32,-3,0.000120,2124622.444915,470.671861,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,64,-3,0.000118,4348859.999942,229.945319,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,64,-3,0.000118,4341484.950531,230.335936,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,8,67108864,0,64,-3,0.000115,4455195.622050,224.457035,0.000000,268.435456,0.000000
