dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbffer
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,16,0,67108864,-1,0.030926,69440284178.026184,0.014401,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,32,0,67108864,-1,0.031774,67586763176.816093,0.014796,0.000000,0.000128,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,32,0,67108864,-1,0.031821,67485574835.366356,0.014818,0.000000,0.000128,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,32,0,67108864,-1,0.031763,67610359815.328278,0.014791,0.000000,0.000128,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,32,0,67108864,-1,0.031759,67617234104.926407,0.014789,0.000000,0.000128,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,32,0,67108864,-1,0.031849,67426564945.466995,0.014831,0.000000,0.000128,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,32,0,67108864,-1,0.031786,67561245083.379784,0.014801,0.000000,0.000128,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,32,0,67108864,-1,0.031767,67600698381.054947,0.014793,0.000000,0.000128,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,32,0,67108864,-1,0.031774,67586742890.957825,0.014796,0.000000,0.000128,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,32,0,67108864,-1,0.031772,67589676352.497459,0.014795,0.000000,0.000128,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,32,0,67108864,-1,0.031762,67610765818.399841,0.014791,0.000000,0.000128,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,32,0,67108864,-1,0.031764,67608001033.943375,0.014791,0.000000,0.000128,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,32,0,67108864,-1,0.030867,69572272110.014542,0.014374,0.000000,0.000128,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,32,0,67108864,-1,0.029849,71944278920.856430,0.013900,0.000000,0.000128,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,32,0,67108864,-1,0.029837,71973574965.456268,0.013894,0.000000,0.000128,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,32,0,67108864,-1,0.029838,71970750100.494675,0.013895,0.000000,0.000128,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,32,0,67108864,-1,0.029843,71959006744.655441,0.013897,0.000000,0.000128,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,64,0,67108864,-1,0.038626,55597107095.602936,0.017987,0.000000,0.000256,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,64,0,67108864,-1,0.038762,55401894639.780090,0.018050,0.000000,0.000256,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,64,0,67108864,-1,0.038943,55144234429.215439,0.018134,0.000000,0.000256,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,64,0,67108864,-1,0.038301,56068182722.563614,0.017835,0.000000,0.000256,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,64,0,67108864,-1,0.038896,55211307792.774612,0.018112,0.000000,0.000256,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,64,0,67108864,-1,0.038300,56069908302.242676,0.017835,0.000000,0.000256,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,64,0,67108864,-1,0.037180,57758698963.658539,0.017313,0.000000,0.000256,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,64,0,67108864,-1,0.036232,59269930988.223083,0.016872,0.000000,0.000256,0.000000
