dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbuffer
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,2,0.015296,70195921818.147720,0.014246,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,2,0.015344,69979209282.891357,0.014290,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,2,0.015357,69916689084.800079,0.014303,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,2,0.015353,69936002051.967072,0.014299,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,2,0.015377,69827303268.122971,0.014321,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,2,0.015330,70039784818.318573,0.014278,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,1,0.015352,69940463747.903702,0.014298,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,1,0.015358,69915186881.566559,0.014303,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,1,0.015388,69778336588.351837,0.014331,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,1,0.015317,70103306769.494659,0.014265,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,1,0.015355,69928122705.985916,0.014300,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,1,0.015488,69328107617.294769,0.014424,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,1,0.015392,69757662692.622711,0.014335,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,1,0.015356,69924114216.390533,0.014301,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,1,0.015338,70005398657.283035,0.014285,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,1,0.015381,69809911473.201553,0.014325,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,1,0.015428,69595296846.164154,0.014369,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,1,0.015320,70088473513.671616,0.014268,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,1,0.015369,69862875826.662613,0.014314,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,1,0.015515,69204873909.472961,0.014450,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,1,0.015374,69839149541.742126,0.014319,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,1,0.015482,69353991254.621994,0.014419,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,8,0.015358,69914231757.011673,0.014303,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,8,0.015375,69834977982.201538,0.014319,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,8,0.015397,69736141487.180725,0.014340,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,8,0.015302,70167945445.282547,0.014252,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,8,0.015339,70000972194.934097,0.014286,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,8,0.015350,69950853407.479385,0.014296,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,8,0.015383,69801337827.630417,0.014326,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,8,0.015415,69654261239.607407,0.014357,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,8,0.015375,69836333792.682892,0.014319,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,8,0.015428,69597736107.209824,0.014368,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,8,0.015338,70005625000.784927,0.014285,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,8,0.015398,69730440442.161514,0.014341,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,8,0.015395,69746518053.479401,0.014338,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,8,0.015424,69612986439.571136,0.014365,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,8,0.015500,69273363447.731949,0.014436,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,8,0.015540,69095139384.074615,0.014473,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,4,0.015343,69980396713.651184,0.014290,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,4,0.015384,69797979921.602585,0.014327,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,4,0.015334,70023933201.094330,0.014281,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,4,0.015384,69796798673.236084,0.014327,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,4,0.015326,70059117906.078094,0.014274,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,4,0.015357,69920062764.897720,0.014302,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,4,0.015305,70157998320.459137,0.014254,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,4,0.015354,69930945861.780441,0.014300,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,4,0.015508,69238341701.460526,0.014443,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,4,0.015341,69991620577.042328,0.014287,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,4,0.015396,69741493543.576416,0.014339,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,4,0.015362,69894709520.854874,0.014307,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,4,0.015416,69651736146.075760,0.014357,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,4,0.015327,70054771825.611328,0.014275,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,4,0.015334,70021655583.642838,0.014281,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,4,0.015384,69798023191.532639,0.014327,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,2,0.015315,70112688258.102386,0.014263,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,2,0.015339,70000650133.975128,0.014286,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,2,0.015311,70131004455.746796,0.014259,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,2,0.015399,69728626668.766388,0.014341,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,2,0.015412,69669764844.421143,0.014353,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,2,0.015340,69994357483.427170,0.014287,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,2,0.015350,69949666979.083939,0.014296,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,2,0.015501,69271394372.104752,0.014436,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,2,0.015399,69726273222.515518,0.014342,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,2,0.015588,68883036108.175064,0.014517,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,2,0.015334,70021882032.281845,0.014281,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,2,0.015357,69920106186.326080,0.014302,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,2,0.015398,69732206802.654739,0.014341,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,2,0.015354,69933000393.835068,0.014299,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,2,0.015376,69833890772.852890,0.014320,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,2,0.015356,69921790979.387939,0.014302,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,1,0.015340,69996911832.396332,0.014286,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,1,0.015340,69994448862.372467,0.014287,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,1,0.015346,69968363337.533096,0.014292,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,1,0.015343,69981218804.706757,0.014290,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,1,0.015467,69422421121.942871,0.014405,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,1,0.015376,69834250284.548645,0.014320,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,1,0.015334,70021882032.281845,0.014281,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,1,0.015313,70118823162.208099,0.014262,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,1,0.015300,70179684493.867798,0.014249,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,1,0.015379,69817270647.557190,0.014323,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,8,0,67108864,1,0.015377,69828165073.487289,0.014321,0.000000,0.000032,0.000000
