dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbuffer
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,256,-1,0.000198,41277216.875675,24.226440,161.774689,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,256,-1,0.000196,41844379.819797,23.898072,162.830795,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,256,-1,0.000197,41570462.446787,24.055542,163.100708,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,256,-1,0.000199,41097059.267425,24.332641,160.794983,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,256,-1,0.000202,40592033.729685,24.635376,162.787003,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,512,-1,0.000196,83736236.141761,11.942261,165.044174,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,512,-1,0.000197,83153582.155362,12.025940,160.709686,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,512,-1,0.000198,82637706.655102,12.101013,201.558380,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,512,-1,0.000196,83420315.721957,11.987488,162.940170,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,512,-1,0.000195,83894458.436744,11.919738,161.839508,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,512,-1,0.000208,78912257.371669,12.672303,161.757797,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,512,-1,0.000197,82985116.105176,12.050354,160.808624,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,512,-1,0.000202,80919431.355915,12.357971,160.827835,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,512,-1,0.000197,83369378.381590,11.994812,164.011871,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,512,-1,0.000195,83847230.800121,11.926452,161.755737,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,512,-1,0.000199,82165262.133260,12.170593,161.740067,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,512,-1,0.000196,83539409.805136,11.970398,161.795868,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,512,-1,0.000203,80827615.139062,12.372009,163.824738,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,512,-1,0.000199,82487928.739586,12.122986,189.128891,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,512,-1,0.000198,82834071.118268,12.072327,161.831741,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,512,-1,0.000196,83467063.522053,11.980774,161.711609,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1024,-1,0.000224,146211953.997512,6.839386,163.933731,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1024,-1,0.000198,165903004.544216,6.027618,163.875015,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1024,-1,0.000203,161631312.038554,6.186920,160.975174,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1024,-1,0.000197,166484607.230095,6.006561,161.890808,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1024,-1,0.000200,163894898.760158,6.101471,173.678284,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1024,-1,0.000205,160028915.190957,6.248871,160.776031,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1024,-1,0.000200,164083669.963850,6.094452,162.797272,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1024,-1,0.000206,159011611.597240,6.288849,161.775070,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1024,-1,0.000202,162264415.115062,6.162781,159.671066,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1024,-1,0.000197,166408512.121737,6.009308,161.701797,1073.741828,0
